synthetic,variant,policy,family,regime,fills,contracts,events,mean,lo,hi
True,x10,C,vol_tercile,low,117,855,2,4.14854,-12.4926,2.53823e+07
True,x10,C,vol_tercile,mid,117,832,3,1.40625,-0.950063,3.76256
True,x10,C,vol_tercile,n/a,93,858,1,1.56527,,
True,x10,C,weekday,weekday,441,3370,4,2.67893,0.55813,3.9908
True,x20,B,tau_bucket,1-5m,182,2003.2,4,4.27516,-10.0344,26.1555
True,x20,B,tau_bucket,10-30m,191,1881.37,4,5.26372,1.29813,10.7178
True,x20,B,tau_bucket,30-60s,2,3.98,2,1.75879,-0.451839,3.96943
True,x20,B,tau_bucket,5-10m,313,2475.61,4,0.985616,-29.628,5.81311
True,x20,B,vol_tercile,high,164,1425.92,3,4.35438,-25.1085,6.0839e+08
True,x20,B,vol_tercile,low,180,1726.06,2,8.56865,-2.16078e+07,30.7942
True,x20,B,vol_tercile,mid,187,1656.93,3,-3.86619,-14.8251,7.09271
True,x20,B,vol_tercile,n/a,157,1555.25,1,4.0643,,
True,x20,B,weekday,weekday,688,6364.16,4,3.28622,-0.243154,17.9065
True,x20,C,tau_bucket,1-5m,190,1751,4,1.82867,-7.59709,11.2544
True,x20,C,tau_bucket,10-30m,185,1722,4,2.72009,-1.04099,13.039
True,x20,C,tau_bucket,30-60s,2,3,2,1.33333,-1.84322,4.50988
True,x20,C,tau_bucket,5-10m,296,2273,4,2.11307,-2.24303,4.12558
True,x20,C,vol_tercile,high,164,1380,3,0.749275,-27.1714,17.4061
True,x20,C,vol_tercile,low,181,1530,2,4.49673,-13.3744,22.3678
True,x20,C,vol_tercile,mid,180,1461,3,1.03696,-4.57463,4.10755e+08
True,x20,C,vol_tercile,n/a,148,1378,1,2.36865,,
True,x20,C,weekday,weekday,673,5749,4,2.20786,-0.744294,5.19171
True,x50,B,tau_bucket,1-5m,308,3523.27,4,9.08134,-3.19318,23.5764
True,x50,B,tau_bucket,10-30m,191,1931.35,4,5.44697,1.44218,11.5327
True,x50,B,tau_bucket,30-60s,5,46.66,3,3.55765,-1.49834,5.1851e+07
True,x50,B,tau_bucket,5-10m,315,2600.12,4,1.61685,-17.0074,6.96089
True,x50,B,tau_bucket,<30s,2,78.99,1,2.93708,,
True,x50,B,vol_tercile,high,215,2009.45,3,9.41949,1.81319,1.19688e+07
True,x50,B,vol_tercile,low,221,2471.39,2,11.956,-22.2411,46.1532
True,x50,B,vol_tercile,mid,218,1996.56,3,-4.27135,-18.7173,1.02769e+07
True,x50,B,vol_tercile,n/a,167,1702.99,1,4.21024,,
True,x50,B,weekday,weekday,821,8180.39,4,5.75987,0.287019,17.8431
True,x50,C,tau_bucket,1-5m,278,2497,4,4.39728,-1.45622,33.9045
True,x50,C,tau_bucket,10-30m,185,1784,4,2.98543,0.659561,5.51923
True,x50,C,tau_bucket,30-60s,4,40,3,3.725,-3.40447,10.8545
True,x50,C,tau_bucket,5-10m,303,2399,4,2.46895,1.7849,7.85589
True,x50,C,tau_bucket,<30s,2,78,1,2.94872,,
True,x50,C,vol_tercile,high,200,1668,3,3.52758,2.17859,4.87657
True,x50,C,vol_tercile,low,217,1945,2,5.08432,-17.761,27.9296
True,x50,C,vol_tercile,mid,192,1570,3,1.6465,0.535233,2.75776
True,x50,C,vol_tercile,n/a,163,1615,1,2.63158,,
True,x50,C,weekday,weekday,772,6798,4,3.32568,1.59507,16.3823
