synthetic,t_decision,t_exec,ticker,event,side,limit_px,edge_c,tau_s,touch_age_s,ext_move_1s,attempt_ct,contracts,avg_px,fee_c,F_decision,settle,net_settle_c,net_1s_c,net_5s_c,net_10s_c,net_60s_c
True,1790252672750000000,1790252672762536660,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.87,1.45502,327.25,0.03,12.7442,10,10,0.87,0.7917,0.946352,1,12.2083,6.4644,6.3138,4.738,0.228745
True,1790252673250000000,1790252673274392927,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.88,0.527638,326.75,0.33,2.42519,10,10,0.88,0.7392,0.946434,1,11.2608,5.38536,5.64027,2.15023,-0.983334
True,1790252676250000000,1790252676280229467,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.89,0.934605,323.75,0.53,7.30885,10,10,0.89,0.6853,0.953855,1,10.3147,4.97597,4.40375,0.725715,-3.22213
True,1790252680750000000,1790252680801631012,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.31,0.416052,319.25,0.73,-7.84839,10,10,0.31,1.4973,0.207878,0,29.5027,8.1505,15.4975,17.5623,25.955
True,1790252682750000000,1790252682797446999,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.29,0.863785,317.25,0.13,-10.9337,10,10,0.29,1.4413,0.181557,0,27.5587,12.4558,14.8287,15.8857,23.1014
True,1790252684500000000,1790252684518199779,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.25,0.299482,315.5,0.48,-1.43884,6,6,0.25,1.3125,0.148321,0,23.6875,8.64837,9.12991,14.056,20.2975
True,1790252689000000000,1790252689025409170,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.83,0.0088666,311,0.18,8.7725,7,7,0.83,0.9877,0.913057,1,16.0123,6.65637,3.77445,3.15969,-3.6726
True,1790252690500000000,1790252690510763992,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.22,0.550101,309.5,0.08,-12.8966,10,10,0.22,1.2012,0.120041,0,20.7988,7.63566,10.8505,12.5047,17.8173
True,1790252693500000000,1790252693539887399,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.2,0.569048,306.5,0.68,-7.69455,10,0,,,0.104208,0,,,,,
True,1790252694250000000,1790252694271919049,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.19,0.600295,305.75,0.13,-11.1268,7,7,0.19,1.0773,0.0966285,0,17.9227,8.03231,8.77937,10.1009,13.8765
True,1790252695000000000,1790252695051631034,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.18,0.134684,305,0.58,0.392338,10,10,0.18,1.0332,0.0928883,0,16.9668,7.81939,7.91036,9.76171,13.5019
True,1790252695750000000,1790252695780642634,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.18,0.0127452,304.25,1.33,-5.39321,10,10,0.18,1.0332,0.0938077,0,16.9668,7.96457,8.97889,9.36481,12.7227
True,1790252699750000000,1790252699782337582,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.78,0.474086,300.25,1.23,2.71987,10,10,0.78,1.2012,0.879465,1,20.7988,6.97531,6.37352,3.42257,8.55226
True,1790252700250000000,1790252700268307964,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.78,0.889575,299.75,1.73,-2.02194,10,10,0.78,1.2012,0.882914,1,20.7988,6.96181,5.57217,4.18166,10.7577
True,1790252701000000000,1790252701010487196,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.17,0.609047,299,0.08,-6.3176,10,10,0.17,0.9877,0.0825869,0,16.0123,7.44888,8.83768,9.43084,10.6298
True,1790252702750000000,1790252702801859150,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.78,0.873521,297.25,0.23,4.25014,7,7,0.78,1.2012,0.882939,1,20.7988,8.31644,1.33095,9.85622,8.9969
True,1790252704250000000,1790252704274802872,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.17,1.24479,295.75,0.23,-12.2494,10,10,0.17,0.9877,0.0782203,0,16.0123,9.03575,10.2898,6.21247,11.4045
True,1790252705250000000,1790252705296470512,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.15,0.626243,294.75,0.23,0.170241,10,10,0.15,0.8925,0.0697677,0,14.1075,7.3658,7.98363,3.51253,9.21957
True,1790252706000000000,1790252706033105700,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.15,0.303553,294,0.98,1.84932,10,10,0.15,0.8925,0.0717472,0,14.1075,7.92144,7.52623,3.93679,9.69108
True,1790252707500000000,1790252707521685312,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.13,1.07555,292.5,1.08,-15.7419,1,1,0.13,0.7917,0.0555274,0,12.2083,6.14765,3.509,2.19433,6.36925
True,1790252710000000000,1790252710031303827,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.74,0.143879,290,0.38,7.5689,2,2,0.74,1.3468,0.841607,1,24.6532,9.26212,14.5889,15.1949,15.7034
True,1790252711250000000,1790252711276623145,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.75,0.307207,288.75,0.93,8.53021,10,10,0.75,1.3125,0.85248,1,23.6875,11.4207,13.3772,14.6436,16.3336
True,1790252711750000000,1790252711774184981,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.75,1.98644,288.25,0.13,7.94539,10,10,0.75,1.3125,0.868003,1,23.6875,12.7446,14.98,15.6385,16.3997
True,1790252718250000000,1790252718292308262,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.2,0.49019,281.75,0.03,3.60563,10,10,0.2,1.12,0.104099,0,18.88,8.38941,7.36188,9.27367,12.9542
True,1790252718750000000,1790252718793592610,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.83,0.394448,281.25,0.13,8.47674,2,2,0.83,0.9877,0.916438,1,16.0123,6.95228,7.88018,6.43147,7.11588
True,1790252722000000000,1790252722039196783,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.84,0.0725412,278,0.98,3.40325,9,9,0.84,0.9408,0.920891,1,15.0592,6.62908,3.50932,3.80506,10.4752
True,1790252723250000000,1790252723268499476,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.84,0.104053,276.75,0.43,5.80821,7,7,0.84,0.9408,0.921062,1,15.0592,5.35855,6.03829,2.81499,10.86
True,1790252724250000000,1790252724278362886,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.18,0.042601,275.75,0.63,-12.8179,10,10,0.18,1.0332,0.092771,0,16.9668,8.47641,9.47455,10.64,6.79978
True,1790252724750000000,1790252724789507934,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.2,2.05569,275.25,0.03,-14.721,10,10,0.2,1.12,0.0919641,0,18.88,10.614,12.5053,12.0934,7.7445
True,1790252726500000000,1790252726520208517,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.17,0.89368,273.5,0.78,-4.85069,10,10,0.17,0.9877,0.0799198,0,16.0123,7.15346,9.69671,10.0145,8.66115
