synthetic,variant,policy,family,regime,events,d_mean,d_lo,d_hi
True,hysteresis_strong,C,tau_bucket,5-10m,4,3.42958,-4.96966,24.7079
True,hysteresis_strong,C,vol_tercile,high,3,-7.81915,-62.3558,46.7175
True,hysteresis_strong,C,vol_tercile,low,2,-1.88323,-6.18355,2.41708
True,hysteresis_strong,C,vol_tercile,mid,3,2.40247,-4.03929e+08,2.72232e+08
True,hysteresis_strong,C,vol_tercile,n/a,1,7.1134,,
True,hysteresis_strong,C,weekday,weekday,4,-0.101099,-2.66884,86.8765
True,age_only_5s,B,tau_bucket,1-5m,2,8.80186,-1.55435e+09,1.36097e+10
True,age_only_5s,B,tau_bucket,10-30m,4,0.370504,-4.18785,10.8844
True,age_only_5s,B,tau_bucket,5-10m,4,2.29449,-4.40788,34.8591
True,age_only_5s,B,vol_tercile,high,2,-0.946557,-47.7289,8.33987e+07
True,age_only_5s,B,vol_tercile,low,1,-1.29883,,
True,age_only_5s,B,vol_tercile,mid,3,3.72163,-7.25991e+07,19.5546
True,age_only_5s,B,vol_tercile,n/a,1,5.21287,,
True,age_only_5s,B,weekday,weekday,4,1.0255,-1.76405,14.2077
True,age_only_5s,C,tau_bucket,1-5m,3,-2.14444,-3.04931,-2.00686
True,age_only_5s,C,tau_bucket,10-30m,4,-0.154449,-5.60156,20.5924
True,age_only_5s,C,tau_bucket,5-10m,4,5.10031,-11.7727,231.101
True,age_only_5s,C,vol_tercile,high,2,-2.91195,-1.91713e+10,91.4828
True,age_only_5s,C,vol_tercile,low,2,-1.29659,-1.29659,248236
True,age_only_5s,C,vol_tercile,mid,3,3.8807,-111.834,2.62549e+09
True,age_only_5s,C,vol_tercile,n/a,1,5.32859,,
True,age_only_5s,C,weekday,weekday,4,0.738055,-2.79056,6.86911
True,join_only,B,tau_bucket,1-5m,2,9.3903,-1.63329e+09,105.816
True,join_only,B,tau_bucket,10-30m,4,-1.17923,-4.54577,21.1641
True,join_only,B,tau_bucket,5-10m,4,-2.58312,-1.92119e+07,14.4265
True,join_only,B,vol_tercile,high,2,-2.56974,-1.43024e+09,2.95336e+08
True,join_only,B,vol_tercile,low,1,-1.83016,,
True,join_only,B,vol_tercile,mid,3,-1.03526,-3.32523e+08,29.0222
True,join_only,B,vol_tercile,n/a,1,2.31086,,
True,join_only,B,weekday,weekday,4,-1.10585,-7.92976,3.28191
True,join_only,C,tau_bucket,1-5m,3,-1.21111,-2.11597,-1.07353
True,join_only,C,tau_bucket,10-30m,4,-0.543443,-3.4241,2.33722
True,join_only,C,tau_bucket,5-10m,4,3.51291,-4.41505,21.9188
True,join_only,C,vol_tercile,high,2,-0.635867,-52.2926,9.05033e+07
True,join_only,C,vol_tercile,low,2,-1.96107,-1.96107,198087
True,join_only,C,vol_tercile,mid,3,2.01003,-17.1356,21.1556
True,join_only,C,vol_tercile,n/a,1,2.36984,,
True,join_only,C,weekday,weekday,4,0.10658,-2.12455,2.33772
True,improve_x2,B,tau_bucket,1-5m,4,13.6271,-11.8041,39.0583
True,improve_x2,B,tau_bucket,10-30m,4,-3.56532,-38.243,6.57695
True,improve_x2,B,tau_bucket,5-10m,4,-1.64809,-38.6418,12.3768
True,improve_x2,B,vol_tercile,high,3,-5.07252,-4.15793e+09,33.9846
True,improve_x2,B,vol_tercile,low,2,1.29304,1.29304,1.29304
True,improve_x2,B,vol_tercile,mid,3,-7.6457,-14.4538,-0.837626
True,improve_x2,B,vol_tercile,n/a,1,2.49277,,
True,improve_x2,B,weekday,weekday,4,-2.2735,-37.8993,8.48832
True,improve_x2,C,tau_bucket,1-5m,4,-9.24232,-6116.67,3.42351e+08
True,improve_x2,C,tau_bucket,10-30m,4,-0.72884,-3.01448,297.072
True,improve_x2,C,tau_bucket,5-10m,4,3.1401,-4.4203,14.5786
True,improve_x2,C,vol_tercile,high,3,-3.72456,-4.2591e+09,22.9266
True,improve_x2,C,vol_tercile,low,2,0.138945,0.138945,0.138945
True,improve_x2,C,vol_tercile,mid,3,-0.696019,-46.9878,45.5958
True,improve_x2,C,vol_tercile,n/a,1,2.50631,,
True,improve_x2,C,weekday,weekday,4,-0.675402,-1.76209,1.48424
True,touch_only,B,tau_bucket,1-5m,4,4.6303,-1905.79,134.919
True,touch_only,B,tau_bucket,10-30m,4,-1.54153,-9.32001,4.38098
True,touch_only,B,tau_bucket,5-10m,4,-2.66002,-1.10276e+07,7.93721
True,touch_only,B,vol_tercile,high,3,-3.55714,-23.8165,16.7022
True,touch_only,B,vol_tercile,low,2,-0.98947,-0.98947,-0.98947
True,touch_only,B,vol_tercile,mid,3,-2.77484,-1.95433e+09,135.16
True,touch_only,B,vol_tercile,n/a,1,0.607297,,
True,touch_only,B,weekday,weekday,4,-1.84212,-9.48175,3.3048
True,touch_only,C,tau_bucket,1-5m,3,-0.444444,-3.06739,4.96232
True,touch_only,C,tau_bucket,10-30m,4,-1.69779,-10.5088,4.70067
True,touch_only,C,tau_bucket,5-10m,4,0.0581489,-14.595,13.8239
True,touch_only,C,vol_tercile,high,2,-2.34641,-1.24378e+08,19.9388
True,touch_only,C,vol_tercile,low,2,0.18169,-9.65385,10.0172
True,touch_only,C,vol_tercile,mid,3,-3.72807,-37.0422,6.28555e+08
True,touch_only,C,vol_tercile,n/a,1,0.58491,,
True,touch_only,C,weekday,weekday,4,-1.37838,-25.6964,3.25482
True,wide_ladder,B,tau_bucket,1-5m,4,20.2266,-3.34607,70.9349
True,wide_ladder,B,tau_bucket,10-30m,4,-1.33499,-2.25224,-0.417743
True,wide_ladder,B,tau_bucket,5-10m,4,-2.24836,-201.829,24.1834
True,wide_ladder,B,vol_tercile,high,3,-0.412217,-18.551,17.7266
True,wide_ladder,B,vol_tercile,low,2,1.99029,1.99029,1.99029
True,wide_ladder,B,vol_tercile,mid,3,1.10458,-1.6841e+08,5.2597
True,wide_ladder,B,vol_tercile,n/a,1,-1.5217,,
True,wide_ladder,B,weekday,weekday,4,0.0695838,-642920,2.99671
True,wide_ladder,C,tau_bucket,1-5m,4,8.28136,-1.63414,156.748
True,wide_ladder,C,tau_bucket,10-30m,4,-2.1405,-7.55862,-0.267708
True,wide_ladder,C,tau_bucket,5-10m,4,4.48393,-11.7467,46.8683
True,wide_ladder,C,vol_tercile,high,3,-2.0607,-6.04128e+09,23.3271
True,wide_ladder,C,vol_tercile,low,2,0.91055,-40.2026,42.0237
True,wide_ladder,C,vol_tercile,mid,3,3.29929,-1.64874e+08,6.18445e+08
True,wide_ladder,C,vol_tercile,n/a,1,-1.57506,,
True,wide_ladder,C,weekday,weekday,4,-0.148231,-4.30637,0.952433
