synthetic,ts,ticker,event,side,px,contracts,fee,is_taker,F,tau_s,gross_edge_c,settle,to_settle_c,hedge_cost,hedge_pnl,net,net_c_per_ct,mo_0.1s_c,mo_0.5s_c,mo_1s_c,mo_5s_c,mo_10s_c,mo_30s_c,mo_60s_c,coid,order_id,trade_id,queue_ahead_ct,order_age_s,pos_before_ct,F_cycle,F_lo,F_hi,delta_btc,z,fv_age_s,mechanism,quote_position,q_eff_at_place_ct,modeled_value_c,policy,yes_px_c,queue_at_place_ct,quote_age_s,adv_ext_0.1s,adv_ext_0.5s,adv_ext_1s,adv_ext_5s,kalshi_imb_side,spread_ticks,venue_imb_adv,taker_ct_10s,taker_ct_60s,takers_against_10s,log_tau,abs_z,yes_px,sigma_ann,fv_edge_c,mkpx_0.1s_c,mkpx_0.5s_c,mkpx_1s_c,mkpx_5s_c,mkpx_10s_c,mkpx_30s_c,mkpx_60s_c,mkpx_settle_c,fee_c,net_mk_10s_c,net_mk_60s_c,adverse_10s_c,toxic
True,1790251258820000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.02,3,0,False,0.002729,841.18,1.7271,0,0.2729,0,0,0.06,2,-0,-0.0014,-0.0014,0.0222,0.0155,0.0318,0.0249,synth-52,sim-o53,sim-f11,0,11.3383,-11,0.00272468,7.04638e-06,0.00556555,1.07378e-05,3.69142,0.338344,queue,touch,2,1.04615,C,2,2,11.3383,-0.257119,-1.04875,1.39078,-9.20259,1,,0,6,30,6,6.73478,3.69142,0.02,0.571662,1.72753,1.7271,1.7257,1.7257,1.7493,1.7426,1.7589,1.752,2,0,1.7426,1.752,0.0155,0
True,1790251275320000000,KXBTCD-26SEP241215-T83000,KXBTCD-26SEP241215,1,0.98,3,0.01,False,0.996628,824.68,1.6628,1,0.3372,0,0,0.05,1.66667,0,0,0.0057,0.0466,0.064,0.0876,0.0123,synth-59,sim-o59,sim-f12,0,23.3477,10,0.996628,0.993198,0.999981,1.41717e-05,-3.49966,0.347659,sweep,touch,4,0.98731,C,98,4,23.3477,-0,0.0175917,1.76635,38.8345,1,,-0,4,30,4,6.71496,3.49966,0.98,0.556843,1.66284,1.6628,1.6628,1.6685,1.7094,1.7268,1.7504,1.6751,2,0.333333,1.39347,1.34177,0.064,0
True,1790251281020000000,KXBTCD-26SEP241215-T83500,KXBTCD-26SEP241215,-1,0.99,4,0.01,False,0.965844,818.98,2.4156,1,-3.4156,0,0,-0.05,-1.25,-0,0.0348,0.0348,-0.1976,-0.1566,-0.9434,1.4483,synth-87,sim-o87,sim-f13,0,2.03473,-5,0.965619,0.931001,0.981913,0.000202881,-1.78093,0.034732,queue,touch,14,0.390925,C,99,14,2.03473,-4.52917,-8.79309,-8.48373,22.1791,-0.297297,3,0,31,48,7,6.70804,1.78093,0.99,0.556843,2.43815,2.4156,2.4504,2.4504,2.218,2.259,1.4722,3.8639,-1,0.25,2.009,3.6139,-0.1566,1
True,1790251286020000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.02,1,0,False,0.002494,813.98,1.7506,0,0.2494,0,0,0.02,2,-0,-0,0.0119,0.015,0.0213,0.0037,0.1155,synth-52,sim-o53,sim-f14,0,38.5434,-14,0.00249405,4.50815e-06,0.00512006,9.99404e-06,3.77404,0.043403,queue,touch,2,1.04615,C,2,2,38.5434,0.0839245,3.80044,3.84065,19.4607,1,,0,8,33,8,6.70191,3.77404,0.02,0.556843,1.75059,1.7506,1.7506,1.7625,1.7656,1.7719,1.7543,1.8661,2,0,1.7719,1.8661,0.0213,0
True,1790251317320000000,KXBTCD-26SEP241215-T83250,KXBTCD-26SEP241215,1,0.97,5,0.01,False,0.993063,782.68,2.3063,1,0.6937,0,0,0.14,2.8,0,0,0.0126,-0.0566,-0.1438,-0.5225,-1.4317,synth-8,sim-o13,sim-f15,0,102.335,0,0.993063,0.986702,0.999676,3.38538e-05,-2.89976,0.334762,queue,behind,17,0.752167,C,97,17,102.335,-2.78128,8.10818,9.00002,12.2804,1,,-0,13,13,13,6.66271,2.89976,0.97,0.556843,2.30632,2.3063,2.3063,2.3189,2.2497,2.1625,1.7838,0.8746,3,0.2,1.9625,0.6746,-0.1438,1
True,1790251326320000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.02,5,0.01,False,0.001933,773.68,1.8067,0,0.1933,0,0,0.09,1.8,-0,-0,0.0147,0.0237,0.0607,0.077,0.0715,synth-96,sim-o96,sim-f16,0,39.8379,-15,0.00193327,1.13643e-06,0.00402052,7.71546e-06,4.01889,0.337943,sweep,touch,46,1.08034,C,2,46,39.8379,-0.166615,-3.21363,3.5489,-13.0897,1,,0,25,33,25,6.65114,4.01889,0.02,0.542455,1.80667,1.8067,1.8067,1.8214,1.8304,1.8674,1.8837,1.8782,2,0.2,1.6674,1.6782,0.0607,0
True,1790251327020000000,KXBTCD-26SEP241215-T83250,KXBTCD-26SEP241215,1,0.98,5,0.01,False,0.991625,772.98,1.1625,1,0.8375,0,0,0.09,1.8,0,0,0.0065,-0.051,-0.3217,-0.3634,-1.7217,synth-127,sim-o127,sim-f17,0,9.53361,5,0.991625,0.984196,0.999403,4.31297e-05,-2.75448,0.0336106,queue,improve,0,0.207436,C,98,0,9.53361,-2.25222,8.45212,15.3785,12.3326,1,,-0,32,32,32,6.65024,2.75448,0.98,0.542455,1.16254,1.1625,1.1625,1.169,1.1115,0.8408,0.7991,-0.5592,2,0.2,0.6408,-0.7592,-0.3217,1
True,1790251345320000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.01,4,0.01,False,0.001284,754.68,0.8716,0,0.1284,0,0,0.03,0.75,-0,-0,-0.0055,0.0027,0.01,0.0447,0.008,synth-138,sim-o138,sim-f18,0,18.8354,-20,0.00128366,8.98882e-08,0.00271966,4.81083e-06,4.43682,0.33543,sweep,improve,0,0.200088,C,1,0,18.8354,-1.29385,6.59881,-2.5402,-9.38501,1,,0,32,65,32,6.62627,4.43682,0.01,0.542455,0.871634,0.8716,0.8716,0.8661,0.8743,0.8816,0.9163,0.8796,1,0.25,0.6316,0.6296,0.01,0
True,1790251345320000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.01,1,0,False,0.001284,754.68,0.8716,0,0.1284,0,0,0.01,1,-0,-0,-0.0055,0.0027,0.01,0.0447,0.008,synth-138,sim-o138,sim-f19,0,18.8354,-24,0.00128366,8.98882e-08,0.00271966,4.81083e-06,4.43682,0.33543,sweep,improve,0,0.200088,C,1,0,18.8354,-1.29385,6.59881,-2.5402,-9.38501,1,,0,32,65,32,6.62627,4.43682,0.01,0.542455,0.871634,0.8716,0.8716,0.8661,0.8743,0.8816,0.9163,0.8796,1,0,0.8816,0.8796,0.01,0
True,1790251346520000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,2,0.01,False,0.003787,753.48,1.6213,0,0.3787,0,0,0.03,1.5,-0,0.0353,0.0353,0.0248,0.0566,0.1669,0.0651,synth-133,sim-o133,sim-f20,0,21.5338,0,0.00343674,2.07862e-05,0.00691837,1.54667e-05,3.48412,0.0838291,queue,touch,11,0.461612,C,2,11,21.5338,0.844167,-10.7249,-17.3172,-21.6484,1,,0,3,3,3,6.62468,3.48412,0.02,0.542455,1.65633,1.6213,1.6566,1.6566,1.6461,1.6779,1.7882,1.6864,2,0.5,1.1779,1.1864,0.0566,0
True,1790251347720000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,3,0,False,0.003434,752.28,1.6566,0,0.3434,0,0,0.06,2,-0,-0.0166,-0.0166,0.0038,0.0133,0.1489,0.04,synth-133,sim-o133,sim-f21,0,22.7384,-2,0.00352137,2.31733e-05,0.00707921,1.59263e-05,3.46271,0.238435,queue,touch,11,0.461612,C,2,11,22.7384,0.728903,11.9162,12.547,-10.2563,1,,0,11,11,11,6.62308,3.46271,0.02,0.542455,1.64786,1.6566,1.64,1.64,1.6604,1.6699,1.8055,1.6966,2,0,1.6699,1.6966,0.0133,0
True,1790251351120000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,1,0.01,False,0.003539,748.88,1.6461,0,0.3539,0,0,0.01,1,-0,-0,0.0143,0.0318,0.0753,0.0539,0.0794,synth-156,sim-o156,sim-f22,0,3.15442,-5,0.00353918,2.36989e-05,0.00711506,1.60598e-05,3.45834,0.154423,queue,touch,41,0.862143,C,2,41,3.15442,0,-4.40957,-5.02351,-6.12947,1,,0,29,29,29,6.61853,3.45834,0.02,0.542455,1.64608,1.6461,1.6461,1.6604,1.6779,1.7214,1.7,1.7255,2,1,0.7214,0.7255,0.0753,0
True,1790251351120000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,4,0,False,0.003539,748.88,1.6461,0,0.3539,0,0,0.08,2,-0,-0,0.0143,0.0318,0.0753,0.0539,0.0794,synth-156,sim-o156,sim-f23,0,3.15442,-6,0.00353918,2.36989e-05,0.00711506,1.60598e-05,3.45834,0.154423,sweep,touch,41,0.862143,C,2,41,3.15442,0,-4.40957,-5.02351,-6.12947,1,,0,29,29,29,6.61853,3.45834,0.02,0.542455,1.64608,1.6461,1.6461,1.6604,1.6779,1.7214,1.7,1.7255,2,0,1.7214,1.7255,0.0753,0
True,1790251400920000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,5,0.01,False,0.003227,699.08,1.6773,0,0.3227,0,0,0.09,1.8,0.0195,0.0195,0.0195,0.0116,0.0452,0.0685,0.0954,synth-182,sim-o182,sim-f24,0,23.4334,-10,0.00295636,1.02944e-05,0.00600431,1.21157e-05,3.62008,0.483367,queue,touch,18,1.1747,C,2,18,23.4334,0,4.29958,-12.1213,-22.5767,1,,0,7,37,7,6.54975,3.62008,0.02,0.635752,1.70436,1.6968,1.6968,1.6968,1.6889,1.7225,1.7458,1.7727,2,0.2,1.5225,1.5727,0.0452,0
True,1790251511420000000,KXBTCD-26SEP241215-T84250,KXBTCD-26SEP241215,1,0.01,5,0.01,False,0.035205,588.58,2.5205,0,-3.5205,0,0,-0.06,-1.2,-0.3268,-0.3268,-0.3268,-0.4142,-0.5434,-0.4914,-0.72,synth-264,sim-o264,sim-f25,0,5.4306,0,0.0341631,0.0179421,0.0687359,0.000226914,1.78383,0.430605,queue,improve,0,0.180357,C,1,0,5.4306,-0,1.94649,10.5286,-5.07585,-1,,-0,7,7,7,6.37769,1.78383,0.01,0.60694,2.41631,2.1937,2.1937,2.1937,2.1063,1.9771,2.0291,1.8005,-1,0.2,1.7771,1.6005,-0.5434,1
True,1790251535020000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,5,0.01,False,0.002051,564.98,1.7949,0,0.2051,0,0,0.09,1.8,-0,-0,0.007,0.0245,0.0163,0.0356,0.0709,synth-268,sim-o268,sim-f26,0,23.5432,-15,0.00205106,1.45861e-06,0.00423613,9.07623e-06,3.97585,0.0431927,queue,touch,12,1.14965,C,2,12,23.5432,0.32711,2.73809,14.5826,-1.24798,1,,0,7,38,7,6.33675,3.97585,0.02,0.60694,1.79489,1.7949,1.7949,1.8019,1.8194,1.8112,1.8305,1.8658,2,0.2,1.6112,1.6658,0.0163,0
True,1790251687620000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,5,0.01,False,0.000722,412.38,1.9278,0,0.0722,0,0,0.09,1.8,-0,-0,0.0034,0.0048,-0.0061,0.0106,0.0233,synth-323,sim-o323,sim-f27,0,23.6402,-20,0.000722064,4.95072e-10,0.00152978,3.32297e-06,5.19561,0.140225,queue,touch,3,1.40791,C,2,3,23.6402,-4.36466,-7.78431,-17.1158,2.12726,1,,0,10,46,10,6.0219,5.19561,0.02,0.559959,1.92779,1.9278,1.9278,1.9312,1.9326,1.9217,1.9384,1.9511,2,0.2,1.7217,1.7511,-0.0061,1
True,1790251824320000000,KXBTCD-26SEP241215-T83250,KXBTCD-26SEP241215,1,0.99,2.5,0.005,False,0.998999,275.68,0.8999,1,0.1001,0,0,0.02,0.8,0,0,-0.003,-0.0223,0.0027,0.0499,0.0697,synth-341,sim-o341,sim-f28,0,23.834,10,0.998999,0.997939,1,6.35429e-06,-4.89866,0.333962,sweep,improve,0,0.399107,C,99,0,23.834,0.501549,0.501549,11.5506,2.02437,1,,-0,5,5,5,5.61919,4.89866,0.99,0.535296,0.899899,0.8999,0.8999,0.8969,0.8776,0.9026,0.9498,0.9696,1,0.2,0.7026,0.7696,0.0027,0
True,1790251894020000000,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.5,3,0.02,False,0.452854,205.98,4.7146,1,-54.7146,0,0,-1.52,-50.6667,-0,9.0028,10.2629,16.2207,17.1881,14.0877,-21.0234,synth-385,sim-o385,sim-f29,0,0.541357,-5,0.452854,0.444642,0.470287,0.00488432,0.0897481,0.0413569,sweep,improve,0,0.678738,C,50,0,0.541357,-1.42222,-2.04947,-9.92639,-11.7316,0.74026,4,0,539,2915,216,5.32768,0.0897481,0.5,0.53429,4.71462,4.7146,13.7174,14.9775,20.9353,21.9027,18.8023,-16.3088,-50,0.666667,21.236,-16.9755,17.1881,0
True,1790252124320000000,KXBTCD-26SEP241230-T85000,KXBTCD-26SEP241230,-1,0.02,2,0.01,False,0.00304,875.68,1.696,0,0.304,0,0,0.03,1.5,-0,-0,-0.003,-0.0081,-0.0153,-0.0478,0.0177,synth-414,sim-o419,sim-f30,0,9.35289,0,0.00303992,1.19823e-05,0.00617276,1.26346e-05,3.59107,0.352888,queue,touch,70,0.964353,C,2,70,9.35289,0,4.14511,6.98634,-12.3317,1,,0,4,4,4,6.77496,3.59107,0.02,0.520236,1.69601,1.696,1.696,1.693,1.6879,1.6807,1.6482,1.7137,2,0.5,1.1807,1.2137,-0.0153,1
True,1790252125920000000,KXBTCD-26SEP241230-T83000,KXBTCD-26SEP241230,1,0.98,2,0.01,False,0.997837,874.08,1.7837,1,0.2163,0,0,0.03,1.5,0.0066,0.0066,0.0066,0.0135,0.0216,0.0432,0.0666,synth-409,sim-o421,sim-f31,0,10.9348,0,0.997851,0.995554,0.999998,8.39349e-06,-3.91354,0.43482,queue,touch,21,1.13749,C,98,21,10.9348,-3.30108,-5.75023,-8.15239,-10.4272,1,,-0,4,4,4,6.77315,3.91354,0.98,0.520236,1.78514,1.7903,1.7903,1.7903,1.7972,1.8053,1.8269,1.8503,2,0.5,1.3053,1.3503,0.0216,0
True,1790252125920000000,KXBTCD-26SEP241230-T83000,KXBTCD-26SEP241230,1,0.98,1,0,False,0.997837,874.08,1.7837,1,0.2163,0,0,0.02,2,0.0066,0.0066,0.0066,0.0135,0.0216,0.0432,0.0666,synth-409,sim-o421,sim-f32,0,10.9406,2,0.997851,0.995554,0.999998,8.39349e-06,-3.91354,0.440583,sweep,touch,21,1.13749,C,98,21,10.9406,-3.30108,-5.75023,-8.15239,-10.4272,1,,-0,4,4,4,6.77315,3.91354,0.98,0.520236,1.78514,1.7903,1.7903,1.7903,1.7972,1.8053,1.8269,1.8503,2,0,1.8053,1.8503,0.0216,0
True,1790252128220000000,KXBTCD-26SEP241230-T83000,KXBTCD-26SEP241230,1,0.98,2,0,False,0.998,871.78,1.8,1,0.2,0,0,0.04,2,0,0,-0.0089,0.0075,0.0062,0.0176,0.0348,synth-409,sim-o421,sim-f33,0,13.2278,3,0.998,0.995846,0.999999,7.71844e-06,-3.98303,0.227803,queue,touch,21,1.13749,C,98,21,13.2278,1.56423,9.58473,6.67775,-12.7986,1,,-0,10,10,10,6.77053,3.98303,0.98,0.520236,1.80004,1.8,1.8,1.7911,1.8075,1.8062,1.8176,1.8348,2,0,1.8062,1.8348,0.0062,0
True,1790252134820000000,KXBTCD-26SEP241230-T83000,KXBTCD-26SEP241230,1,0.98,5,0.01,False,0.998004,865.18,1.8004,1,0.1996,0,0,0.09,1.8,0,0.0049,0.0049,0.0072,0.0269,0.028,0.0305,synth-436,sim-o438,sim-f34,0,6.35131,5,0.998052,0.99595,0.999999,7.51167e-06,-4.00891,0.351305,queue,touch,35,1.16555,C,98,35,6.35131,-1.28447,-0.834041,-3.43488,-10.1908,1,,-0,30,30,30,6.7629,4.00891,0.98,0.520236,1.80525,1.8004,1.8053,1.8053,1.8076,1.8273,1.8284,1.8309,2,0.2,1.6273,1.6309,0.0269,0
True,1790252146420000000,KXBTCD-26SEP241230-T83250,KXBTCD-26SEP241230,1,0.98,5,0.01,False,0.995456,853.58,1.5456,1,0.4544,0,0,0.09,1.8,0,0,-0.0018,-0.007,-0.0487,-0.058,-0.0258,synth-410,sim-o415,sim-f35,0,31.4408,0,0.995456,0.991009,0.999932,2.05307e-05,-3.24201,0.440837,queue,touch,8,0.338088,C,98,8,31.4408,5.48966,1.09809,-3.58764,3.73583,1,,-0,10,50,10,6.74941,3.24201,0.98,0.520236,1.54563,1.5456,1.5456,1.5438,1.5386,1.4969,1.4876,1.5198,2,0.2,1.2969,1.3198,-0.0487,1
True,1790252164620000000,KXBTCD-26SEP241230-T83250,KXBTCD-26SEP241230,1,0.98,1,0.01,False,0.995018,835.38,1.5018,1,0.4982,0,0,0.01,1,0,0.0048,0.0048,0.0092,0.0488,-0.0032,0.01,synth-452,sim-o452,sim-f36,0,18.1285,5,0.9951,0.990358,0.999908,2.29236e-05,-3.17923,0.128518,queue,touch,142,0.68777,C,98,142,18.1285,-4.60042,-6.02607,-10.3384,-1.76605,1,,-0,2,52,2,6.72788,3.17923,0.98,0.512219,1.50997,1.5018,1.5066,1.5066,1.511,1.5506,1.4986,1.5118,2,1,0.5506,0.5118,0.0488,0
True,1790252170220000000,KXBTCD-26SEP241230-T85000,KXBTCD-26SEP241230,-1,0.02,3,0,False,0.003128,829.78,1.6872,0,0.3128,0,0,0.06,2,-0,-0,0.0092,0.0345,0.0553,0.0875,0.0859,synth-414,sim-o419,sim-f37,0,55.2386,-2,0.0031276,1.362e-05,0.00633793,1.35762e-05,3.56648,0.238612,queue,touch,70,0.964353,C,2,70,55.2386,-0.0330667,3.82279,12.4042,14.9706,1,,0,17,21,17,6.72114,3.56648,0.02,0.512219,1.68724,1.6872,1.6872,1.6964,1.7217,1.7425,1.7747,1.7731,2,0,1.7425,1.7731,0.0553,0
True,1790252192620000000,KXBTCD-26SEP241230-T85000,KXBTCD-26SEP241230,-1,0.02,1,0.01,False,0.002563,807.38,1.7437,0,0.2563,0,0,0.01,1,-0,0.0106,0.0106,0.0237,0.0327,0.0498,0.0564,synth-457,sim-o457,sim-f38,0,22.1305,-5,0.00254445,4.98418e-06,0.00521523,1.08101e-05,3.75554,0.130509,queue,touch,1,0.969494,C,2,1,22.1305,0,-5.4445,-8.8096,-12.1253,1,,0,15,32,15,6.69378,3.75554,0.02,0.512219,1.74555,1.7437,1.7543,1.7543,1.7674,1.7764,1.7935,1.8001,2,1,0.7764,0.8001,0.0327,0
True,1790252192620000000,KXBTCD-26SEP241230-T85000,KXBTCD-26SEP241230,-1,0.02,4,0,False,0.002563,807.38,1.7437,0,0.2563,0,0,0.08,2,-0,0.0106,0.0106,0.0237,0.0327,0.0498,0.0564,synth-457,sim-o457,sim-f39,0,22.1341,-6,0.00254445,4.98418e-06,0.00521523,1.08101e-05,3.75554,0.134149,sweep,touch,1,0.969494,C,2,1,22.1341,0,-5.4445,-8.8096,-12.1253,1,,0,15,32,15,6.69378,3.75554,0.02,0.512219,1.74555,1.7437,1.7543,1.7543,1.7674,1.7764,1.7935,1.8001,2,0,1.7764,1.8001,0.0327,0
True,1790252212220000000,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,-1,0.58,3,0.02,False,0.541793,787.78,3.8207,1,-45.8207,0,0,-1.28,-42.6667,-0,-1.0009,-1.0009,-2.6629,-1.9515,-11.4876,-8.3245,synth-489,sim-o489,sim-f40,0,0.232348,0,0.541793,0.527796,0.549115,0.00199319,-0.0837228,0.232348,queue,improve,0,2.16786,C,58,0,0.232348,1.37363,0.843686,-4.50064,-28.5864,-0.851852,3,0,63,235,63,6.6692,0.0837228,0.58,0.512219,3.82073,3.8207,2.8198,2.8198,1.1578,1.8692,-7.6669,-4.5038,-42,0.666667,1.20253,-5.17047,-1.9515,1
