synthetic,ts,ticker,event,side,px,contracts,fee,is_taker,F,tau_s,gross_edge_c,settle,to_settle_c,hedge_cost,hedge_pnl,net,net_c_per_ct,mo_0.1s_c,mo_0.5s_c,mo_1s_c,mo_5s_c,mo_10s_c,mo_30s_c,mo_60s_c,event_ticker,expiration_ns,day,weekend,rv_1h,fv_status,flow_status,coid,order_id,trade_id,queue_ahead_ct,order_age_s,pos_before_ct,F_cycle,F_lo,F_hi,delta_btc,z,fv_age_s,mechanism,quote_position,q_eff_at_place_ct,modeled_value_c,policy,yes_px_c,queue_at_place_ct,quote_age_s,adv_ext_0.1s,adv_ext_0.5s,adv_ext_1s,adv_ext_5s,kalshi_imb_side,spread_ticks,venue_imb_adv,taker_ct_10s,taker_ct_60s,takers_against_10s,log_tau,abs_z,yes_px,sigma_ann,fv_edge_c,t_match,at_match,mkpx_0.1s_c,mkpx_0.5s_c,mkpx_1s_c,mkpx_5s_c,mkpx_10s_c,mkpx_30s_c,mkpx_60s_c,mkpx_settle_c,fee_c,net_mk_10s_c,net_mk_60s_c,adverse_10s_c,toxic
True,1790251327000000000,KXBTCD-26SEP241215-T83250,exp 2026-09-24T12:15:00Z,1,0.98,5,0.01,False,0.991625,773,1.1625,1,0.8375,0,0,0.09,1.8,0,0,0.0065,-0.051,-0.3217,-0.3634,-1.7217,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-128,sim-o128,sim-f18,0,9.52,5,0.991625,0.984196,0.999403,4.31297e-05,-2.75448,0.02,queue,improve,0,0.208402,B,98,0,9.52,-1.33764,10.7043,16.9425,14.5848,1,,-0,13,13,13,6.65025,2.75448,0.98,0.542455,1.16254,1790251327020000000,1,1.1625,1.1625,1.169,1.1115,0.8408,0.7991,-0.5592,2,0.2,0.6408,-0.7592,-0.3217,1
True,1790251346500000000,KXBTCD-26SEP241215-T84750,exp 2026-09-24T12:15:00Z,-1,0.02,2.99,0.0098,False,0.003787,753.5,1.6213,0,0.3787,0,0,0.05,1.67224,-0,0.0353,0.0353,0.0248,0.0566,0.1669,0.0651,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-134,sim-o134,sim-f19,0,21.52,0,0.00343674,2.07862e-05,0.00691837,1.54667e-05,3.48412,0.07,queue,touch,11,0.457747,B,2,11,21.52,0.381429,-15.4782,-14.3472,-25.8617,1,,0,0,0,0,6.6247,3.48412,0.02,0.542455,1.65633,1790251346520000000,1,1.6213,1.6566,1.6566,1.6461,1.6779,1.7882,1.6864,2,0.327759,1.35014,1.35864,0.0566,0
True,1790251347700000000,KXBTCD-26SEP241215-T84750,exp 2026-09-24T12:15:00Z,-1,0.02,2.01,0.0002,False,0.003434,752.3,1.6566,0,0.3434,0,0,0.04,1.99005,-0,-0.0166,-0.0166,0.0038,0.0133,0.1489,0.04,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-134,sim-o134,sim-f20,0,22.72,-2.99,0.00352137,2.31733e-05,0.00707921,1.59263e-05,3.46271,0.22,queue,touch,11,0.457747,B,2,11,22.72,5.63768,12.3121,10.9724,-10.1139,1,,0,3,3,3,6.62311,3.46271,0.02,0.542455,1.64786,1790251347720000000,1,1.6566,1.64,1.64,1.6604,1.6699,1.8055,1.6966,2,0.00995025,1.65995,1.68665,0.0133,0
True,1790251351100000000,KXBTCD-26SEP241215-T84750,exp 2026-09-24T12:15:00Z,-1,0.02,1.99,0.0098,False,0.003539,748.9,1.6461,0,0.3539,0,0,0.03,1.50754,-0,-0,0.0143,0.0318,0.0753,0.0539,0.0794,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-156,sim-o156,sim-f21,0,3.12,-5,0.00353918,2.36989e-05,0.00711506,1.60598e-05,3.45834,0.12,queue,touch,41,0.862113,B,2,41,3.12,-1.99472,-5.17576,-2.75584,-6.55792,1,,0,11,11,11,6.61858,3.45834,0.02,0.542455,1.64608,1790251351120000000,1,1.6461,1.6461,1.6604,1.6779,1.7214,1.7,1.7255,2,0.492462,1.22894,1.23304,0.0753,0
True,1790251351100000000,KXBTCD-26SEP241215-T84750,exp 2026-09-24T12:15:00Z,-1,0.02,3.01,0.0002,False,0.003539,748.9,1.6461,0,0.3539,0,0,0.06,1.99336,-0,-0,0.0143,0.0318,0.0753,0.0539,0.0794,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-156,sim-o156,sim-f22,0,3.12295,-6.99,0.00353918,2.36989e-05,0.00711506,1.60598e-05,3.45834,0.122949,sweep,touch,41,0.862113,B,2,41,3.12,-1.99472,-5.17576,-2.75584,-6.55792,1,,0,13,13,13,6.61858,3.45834,0.02,0.542455,1.64608,1790251351120000000,1,1.6461,1.6461,1.6604,1.6779,1.7214,1.7,1.7255,2,0.00664452,1.71476,1.71886,0.0753,0
True,1790251400900000000,KXBTCD-26SEP241215-T84750,exp 2026-09-24T12:15:00Z,-1,0.02,5,0.01,False,0.003227,699.1,1.6773,0,0.3227,0,0,0.09,1.8,0.0195,0.0195,0.0195,0.0116,0.0452,0.0685,0.0954,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-182,sim-o182,sim-f23,0,23.42,-10,0.00295636,1.02944e-05,0.00600431,1.21157e-05,3.62008,0.47,queue,touch,18,1.17466,B,2,18,23.42,0,4.26482,-12.1213,-27.0413,1,,0,0,30,0,6.54977,3.62008,0.02,0.635752,1.70436,1790251400920000000,1,1.6968,1.6968,1.6968,1.6889,1.7225,1.7458,1.7727,2,0.2,1.5225,1.5727,0.0452,0
True,1790251511400000000,KXBTCD-26SEP241215-T84250,exp 2026-09-24T12:15:00Z,1,0.01,5,0.01,False,0.035205,588.6,2.5205,0,-3.5205,0,0,-0.06,-1.2,-0.3268,-0.3268,-0.3268,-0.4142,-0.5434,-0.4914,-0.72,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-261,sim-o261,sim-f24,0,5.42,0,0.0341631,0.0179421,0.0687359,0.000226914,1.78383,0.42,queue,improve,0,0.180799,B,1,0,5.42,0.736319,6.59836,10.419,-3.7884,-0.611111,3,-0,0,0,0,6.37771,1.78383,0.01,0.60694,2.41631,1790251511420000000,1,2.1937,2.1937,2.1937,2.1063,1.9771,2.0291,1.8005,-1,0.2,1.7771,1.6005,-0.5434,1
True,1790251535000000000,KXBTCD-26SEP241215-T84750,exp 2026-09-24T12:15:00Z,-1,0.02,5,0.01,False,0.002051,565,1.7949,0,0.2051,0,0,0.09,1.8,-0,-0,0.007,0.0245,0.0163,0.0356,0.0709,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-265,sim-o265,sim-f25,0,23.52,-15,0.00205106,1.45861e-06,0.00423613,9.07623e-06,3.97585,0.02,queue,touch,12,1.14963,B,2,12,23.52,2.95261,7.45464,14.5847,-2.75149,1,,0,0,31,0,6.33679,3.97585,0.02,0.60694,1.79489,1790251535020000000,1,1.7949,1.7949,1.8019,1.8194,1.8112,1.8305,1.8658,2,0.2,1.6112,1.6658,0.0163,0
True,1790251684800000000,KXBTCD-26SEP241215-T84750,exp 2026-09-24T12:15:00Z,-1,0.02,0.99,0.0098,False,0.000747,415.2,1.9253,0,0.0747,0,0,0.01,1.0101,-0,-0,0.001,0.0053,0.0025,0.0135,0.0229,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-320,sim-o320,sim-f26,0,20.82,-20,0.00074688,6.83112e-10,0.00158122,3.44641e-06,5.15175,0.32,queue,touch,3,1.40791,B,2,3,20.82,-0.421476,0.101829,-5.51381,15.7415,1,,0,0,36,0,6.02871,5.15175,0.02,0.559959,1.92531,1790251684820000000,1,1.9253,1.9253,1.9263,1.9306,1.9278,1.9388,1.9482,2,0.989899,0.937901,0.958301,0.0025,0
True,1790251687600000000,KXBTCD-26SEP241215-T84750,exp 2026-09-24T12:15:00Z,-1,0.02,4.01,0.0002,False,0.000722,412.4,1.9278,0,0.0722,0,0,0.08,1.99501,-0,-0,0.0034,0.0048,-0.0061,0.0106,0.0233,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-320,sim-o320,sim-f27,0,23.62,-20.99,0.000722064,4.95072e-10,0.00152978,3.32297e-06,5.19561,0.12,queue,touch,3,1.40791,B,2,3,23.62,4.36466,-3.554,-6.94012,0.343849,1,,0,1,37,1,6.02195,5.19561,0.02,0.559959,1.92779,1790251687620000000,1,1.9278,1.9278,1.9312,1.9326,1.9217,1.9384,1.9511,2,0.00498753,1.91671,1.94611,-0.0061,1
True,1790251824300000000,KXBTCD-26SEP241215-T83250,exp 2026-09-24T12:15:00Z,1,0.99,2.5,0.005,False,0.998999,275.7,0.8999,1,0.1001,0,0,0.02,0.8,0,0,-0.003,-0.0223,0.0027,0.0499,0.0697,KXBTCD-26SEP241215,1790252100000000000,20720,False,,n/a,defaults,synth-339,sim-o339,sim-f28,0,23.82,10,0.998999,0.997939,1,6.35429e-06,-4.89866,0.32,sweep,improve,0,0.399247,B,99,0,23.82,-2.78188,6.0139,11.049,-0.36511,1,,-0,0,0,0,5.61924,4.89866,0.99,0.535296,0.899899,1790251824320000000,1,0.8999,0.8999,0.8969,0.8776,0.9026,0.9498,0.9696,1,0.2,0.7026,0.7696,0.0027,0
True,1790251894000000000,KXBTCD-26SEP241215-T84000,exp 2026-09-24T12:15:00Z,-1,0.5,3,0.02,False,0.452854,206,4.7146,1,-54.7146,0,0,-1.52,-50.6667,-0,9.0028,10.2629,16.2207,17.1881,14.0877,-21.0234,KXBTCD-26SEP241215,1790252100000000000,20720,False,0.719354,n/a,defaults,synth-382,sim-o382,sim-f29,0,0.52,-5,0.452854,0.444642,0.470287,0.00488432,0.0897481,0.02,sweep,improve,0,0.678617,B,50,0,0.52,-0.973314,-2.38549,-8.50417,-10.3093,0.75,4,0,536,2912,213,5.32778,0.0897481,0.5,0.53429,4.71462,1790251894020000000,1,4.7146,13.7174,14.9775,20.9353,21.9027,18.8023,-16.3088,-50,0.666667,21.236,-16.9755,17.1881,0
True,1790251948200000000,KXBTCD-26SEP241215-T84000,exp 2026-09-24T12:15:00Z,1,0.56,4,0.02,False,0.643174,151.8,8.3174,1,35.6826,0,0,1.74,43.5,0,4.7795,6.0904,9.673,14.642,22.4294,15.5223,KXBTCD-26SEP241215,1790252100000000000,20720,False,0.683353,n/a,defaults,synth-397,sim-o397,sim-f30,2,0.72,-8,0.643174,0.591224,0.666311,0.00571427,-0.27819,0.22,cross,touch,2,0.66779,B,56,2,0.72,-0.743044,-4.00309,-10.6169,-11.0519,-0.865169,5,-0,576,3562,263,5.02243,0.27819,0.56,0.521045,8.31738,1790251948220000000,1,8.3174,13.0969,14.4078,17.9904,22.9594,30.7468,23.8397,44,0.5,22.4594,23.3397,14.642,0
True,1790251955300000000,KXBTCD-26SEP241215-T84000,exp 2026-09-24T12:15:00Z,1,0.65,5,0.02,False,0.761058,144.7,11.1058,1,23.8942,0,0,1.73,34.6,0,-2.9904,-5.396,7.3233,12.708,13.5184,3.956,KXBTCD-26SEP241215,1790252100000000000,20720,False,0.683353,n/a,defaults,synth-402,sim-o402,sim-f31,0,0.87,-4,0.761058,0.676479,0.794946,0.00456154,-0.552346,0.32,cross,improve,0,0.909104,B,65,0,0.87,0.09934,4.6855,0.00115666,-3.205,0.672727,5,-0,347,3254,8,4.97452,0.552346,0.65,0.521045,11.1058,1790251955320000000,1,11.1058,8.1154,5.7098,18.4291,23.8138,24.6242,15.0618,35,0.4,23.4138,14.6618,12.708,0
True,1790251969000000000,KXBTCD-26SEP241215-T84500,exp 2026-09-24T12:15:00Z,-1,0.02,0.99,0.0098,False,0.00056,131,1.944,0,0.056,0,0,0.01,1.0101,-0,-0,0.0012,0.0037,0.0106,0.0332,0.049,KXBTCD-26SEP241215,1790252100000000000,20720,False,0.683353,n/a,defaults,synth-405,sim-o405,sim-f32,0,13.02,0,0.000560237,1.82578e-12,0.00114192,4.79377e-06,5.91544,0.02,queue,touch,8,1.47269,B,2,8,13.02,-3.27686,-13.1112,-11.975,-17.8083,1,,0,0,71,0,4.87504,5.91544,0.02,0.521045,1.94398,1790251969020000000,1,1.944,1.944,1.9452,1.9477,1.9546,1.9772,1.993,2,0.989899,0.964701,1.0031,0.0106,0
True,1790252124300000000,KXBTCD-26SEP241230-T85000,exp 2026-09-24T12:30:00Z,-1,0.02,3.99,0.0098,False,0.00304,875.7,1.696,0,0.304,0,0,0.07,1.75439,-0,-0,-0.003,-0.0081,-0.0153,-0.0478,0.0177,KXBTCD-26SEP241230,1790253000000000000,20720,False,0.674467,n/a,defaults,synth-424,sim-o429,sim-f33,0,9.32,0,0.00303992,1.19823e-05,0.00617276,1.26346e-05,3.59107,0.32,queue,touch,70,0.964353,B,2,70,9.32,3.44417,2.59632,6.07165,-15.7179,1,,0,0,0,0,6.775,3.59107,0.02,0.520236,1.69601,1790252124320000000,1,1.696,1.696,1.693,1.6879,1.6807,1.6482,1.7137,2,0.245614,1.43509,1.46809,-0.0153,1
True,1790252125900000000,KXBTCD-26SEP241230-T83000,exp 2026-09-24T12:30:00Z,1,0.98,2.99,0.0098,False,0.997837,874.1,1.7837,1,0.2163,0,0,0.05,1.67224,0.0066,0.0066,0.0066,0.0135,0.0216,0.0432,0.0666,KXBTCD-26SEP241230,1790253000000000000,20720,False,0.674467,n/a,defaults,synth-419,sim-o423,sim-f34,0,10.92,0,0.997851,0.995554,0.999998,8.39349e-06,-3.91354,0.42,queue,touch,21,1.13749,B,98,21,10.92,-0,-2.58396,-4.85131,-10.3852,1,,-0,0,0,0,6.77317,3.91354,0.98,0.520236,1.78514,1790252125920000000,1,1.7903,1.7903,1.7903,1.7972,1.8053,1.8269,1.8503,2,0.327759,1.47754,1.52254,0.0216,0
