synthetic,ts,ticker,event,side,px,contracts,fee,is_taker,F,tau_s,gross_edge_c,settle,to_settle_c,hedge_cost,hedge_pnl,net,net_c_per_ct,mo_0.1s_c,mo_0.5s_c,mo_1s_c,mo_5s_c,mo_10s_c,mo_30s_c,mo_60s_c,coid,order_id,trade_id,queue_ahead_ct,order_age_s,pos_before_ct,F_cycle,F_lo,F_hi,delta_btc,z,fv_age_s,mechanism,quote_position,q_eff_at_place_ct,modeled_value_c,policy,yes_px_c
True,1790251281020000000,KXBTCD-26SEP241215-T83500,KXBTCD-26SEP241215,-1,0.99,5,0.01,False,0.965844,818.98,2.4156,1,-3.4156,0,0,-0.06,-1.2,-0,0.0348,0.0348,-0.1976,-0.1566,-0.9434,1.4483,synth-89,sim-o89,sim-f15,0,2.02764,-5,0.965619,0.931001,0.981913,0.000202881,-1.78093,0.0276445,queue,touch,14,0.391402,B,99
True,1790251286020000000,KXBTCD-26SEP241215-T85000,KXBTCD-26SEP241215,-1,0.02,5,0.01,False,0.002494,813.98,1.7506,0,0.2494,0,0,0.09,1.8,-0,-0,0.0119,0.015,0.0213,0.0037,0.1155,synth-68,sim-o68,sim-f16,0,27.0251,-19.98,0.00249405,4.50815e-06,0.00512006,9.99404e-06,3.77404,0.0250911,queue,touch,8,1.02587,B,2
True,1790251317320000000,KXBTCD-26SEP241215-T83250,KXBTCD-26SEP241215,1,0.97,5,0.01,False,0.993063,782.68,2.3063,1,0.6937,0,0,0.14,2.8,0,0,0.0126,-0.0566,-0.1438,-0.5225,-1.4317,synth-8,sim-o13,sim-f17,0,102.33,0,0.993063,0.986702,0.999676,3.38538e-05,-2.89976,0.329627,queue,behind,17,0.752167,B,97
True,1790251346520000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,2.99,0.0098,False,0.003787,753.48,1.6213,0,0.3787,0,0,0.05,1.67224,-0,0.0353,0.0353,0.0248,0.0566,0.1669,0.0651,synth-134,sim-o134,sim-f18,0,21.5257,0,0.00343674,2.07862e-05,0.00691837,1.54667e-05,3.48412,0.0756961,queue,touch,11,0.457747,B,2
True,1790251347720000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,2.01,0.0002,False,0.003434,752.28,1.6566,0,0.3434,0,0,0.04,1.99005,-0,-0.0166,-0.0166,0.0038,0.0133,0.1489,0.04,synth-134,sim-o134,sim-f19,0,22.7415,-2.99,0.00352137,2.31733e-05,0.00707921,1.59263e-05,3.46271,0.241538,queue,touch,11,0.457747,B,2
True,1790251351120000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,1.99,0.0098,False,0.003539,748.88,1.6461,0,0.3539,0,0,0.03,1.50754,-0,-0,0.0143,0.0318,0.0753,0.0539,0.0794,synth-156,sim-o156,sim-f20,0,3.12439,-5,0.00353918,2.36989e-05,0.00711506,1.60598e-05,3.45834,0.124392,queue,touch,41,0.862072,B,2
True,1790251351120000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,3.01,0.0002,False,0.003539,748.88,1.6461,0,0.3539,0,0,0.06,1.99336,-0,-0,0.0143,0.0318,0.0753,0.0539,0.0794,synth-156,sim-o156,sim-f21,0,3.14295,-6.99,0.00353918,2.36989e-05,0.00711506,1.60598e-05,3.45834,0.142949,sweep,touch,41,0.862072,B,2
True,1790251400920000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,5,0.01,False,0.003227,699.08,1.6773,0,0.3227,0,0,0.09,1.8,0.0195,0.0195,0.0195,0.0116,0.0452,0.0685,0.0954,synth-182,sim-o182,sim-f22,0,23.4338,-10,0.00295636,1.02944e-05,0.00600431,1.21157e-05,3.62008,0.483783,queue,touch,18,1.17462,B,2
True,1790251511420000000,KXBTCD-26SEP241215-T84250,KXBTCD-26SEP241215,1,0.01,5,0.01,False,0.035205,588.58,2.5205,0,-3.5205,0,0,-0.06,-1.2,-0.3268,-0.3268,-0.3268,-0.4142,-0.5434,-0.4914,-0.72,synth-261,sim-o261,sim-f23,0,5.4324,0,0.0341631,0.0179421,0.0687359,0.000226914,1.78383,0.432397,queue,improve,0,0.181258,B,1
True,1790251535020000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,5,0.01,False,0.002051,564.98,1.7949,0,0.2051,0,0,0.09,1.8,-0,-0,0.007,0.0245,0.0163,0.0356,0.0709,synth-265,sim-o265,sim-f24,0,23.5517,-15,0.00205106,1.45861e-06,0.00423613,9.07623e-06,3.97585,0.0516972,queue,touch,12,1.1496,B,2
True,1790251684820000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,0.99,0.0098,False,0.000747,415.18,1.9253,0,0.0747,0,0,0.01,1.0101,-0,-0,0.001,0.0053,0.0025,0.0135,0.0229,synth-317,sim-o317,sim-f25,0,20.8477,-20,0.00074688,6.83112e-10,0.00158122,3.44641e-06,5.15175,0.347705,queue,touch,3,1.4079,B,2
True,1790251687620000000,KXBTCD-26SEP241215-T84750,KXBTCD-26SEP241215,-1,0.02,4.01,0.0002,False,0.000722,412.38,1.9278,0,0.0722,0,0,0.08,1.99501,-0,-0,0.0034,0.0048,-0.0061,0.0106,0.0233,synth-317,sim-o317,sim-f26,0,23.637,-20.99,0.000722064,4.95072e-10,0.00152978,3.32297e-06,5.19561,0.137019,queue,touch,3,1.4079,B,2
True,1790251894020000000,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,-1,0.5,3,0.02,False,0.452854,205.98,4.7146,1,-54.7146,0,0,-1.52,-50.6667,-0,9.0028,10.2629,16.2207,17.1881,14.0877,-21.0234,synth-376,sim-o376,sim-f27,0,0.530589,-5,0.452854,0.444642,0.470287,0.00488432,0.0897481,0.0305888,sweep,improve,0,0.678414,B,50
True,1790251948220000000,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.56,4,0.02,False,0.643174,151.78,8.3174,1,35.6826,0,0,1.74,43.5,0,4.7795,6.0904,9.673,14.642,22.4294,15.5223,synth-389,sim-o389,sim-f28,2,0.726662,-8,0.643174,0.591224,0.666311,0.00571427,-0.27819,0.226662,cross,touch,2,0.667889,B,56
True,1790251955320000000,KXBTCD-26SEP241215-T84000,KXBTCD-26SEP241215,1,0.64,5,0.03,False,0.761058,144.68,12.1058,1,23.8942,0,0,1.77,35.4,0,-2.9904,-5.396,7.3233,12.708,13.5184,3.956,synth-394,sim-o394,sim-f29,0,0.330958,-4,0.761058,0.676479,0.794946,0.00456154,-0.552346,0.330958,cross,improve,0,2.90023,B,64
True,1790251969020000000,KXBTCD-26SEP241215-T84500,KXBTCD-26SEP241215,-1,0.02,0.99,0.0098,False,0.00056,130.98,1.944,0,0.056,0,0,0.01,1.0101,-0,-0,0.0012,0.0037,0.0106,0.0332,0.049,synth-397,sim-o397,sim-f30,0,13.0254,0,0.000560237,1.82578e-12,0.00114192,4.79377e-06,5.91544,0.0254398,queue,touch,8,1.47269,B,2
True,1790252124320000000,KXBTCD-26SEP241230-T85000,KXBTCD-26SEP241230,-1,0.02,3.99,0.0098,False,0.00304,875.68,1.696,0,0.304,0,0,0.07,1.75439,-0,-0,-0.003,-0.0081,-0.0153,-0.0478,0.0177,synth-416,sim-o412,sim-f31,0,9.33131,0,0.00303992,1.19823e-05,0.00617276,1.26346e-05,3.59107,0.331309,queue,touch,70,0.964353,B,2
True,1790252125920000000,KXBTCD-26SEP241230-T83000,KXBTCD-26SEP241230,1,0.98,2.99,0.0098,False,0.997837,874.08,1.7837,1,0.2163,0,0,0.05,1.67224,0.0066,0.0066,0.0066,0.0135,0.0216,0.0432,0.0666,synth-411,sim-o423,sim-f32,0,10.9252,0,0.997851,0.995554,0.999998,8.39349e-06,-3.91354,0.425202,queue,touch,21,1.13749,B,98
True,1790252125920000000,KXBTCD-26SEP241230-T83000,KXBTCD-26SEP241230,1,0.98,1,0,False,0.997837,874.08,1.7837,1,0.2163,0,0,0.02,2,0.0066,0.0066,0.0066,0.0135,0.0216,0.0432,0.0666,synth-411,sim-o423,sim-f33,0,10.9297,2.99,0.997851,0.995554,0.999998,8.39349e-06,-3.91354,0.429688,sweep,touch,21,1.13749,B,98
True,1790252128220000000,KXBTCD-26SEP241230-T83000,KXBTCD-26SEP241230,1,0.98,1.01,0.0002,False,0.998,871.78,1.8,1,0.2,0,0,0.02,1.9802,0,0,-0.0089,0.0075,0.0062,0.0176,0.0348,synth-411,sim-o423,sim-f34,0,13.2283,3.99,0.998,0.995846,0.999999,7.71844e-06,-3.98303,0.228348,queue,touch,21,1.13749,B,98
True,1790252134820000000,KXBTCD-26SEP241230-T83000,KXBTCD-26SEP241230,1,0.98,5,0.01,False,0.998004,865.18,1.8004,1,0.1996,0,0,0.09,1.8,0,0.0049,0.0049,0.0072,0.0269,0.028,0.0305,synth-438,sim-o438,sim-f35,0,6.33739,5,0.998052,0.99595,0.999999,7.51167e-06,-4.00891,0.337389,queue,touch,35,1.16555,B,98
True,1790252146420000000,KXBTCD-26SEP241230-T83250,KXBTCD-26SEP241230,1,0.98,5,0.01,False,0.995456,853.58,1.5456,1,0.4544,0,0,0.09,1.8,0,0,-0.0018,-0.007,-0.0487,-0.058,-0.0258,synth-412,sim-o413,sim-f36,0,31.4268,0,0.995456,0.991009,0.999932,2.05307e-05,-3.24201,0.426758,queue,touch,8,0.338088,B,98
True,1790252164620000000,KXBTCD-26SEP241230-T83250,KXBTCD-26SEP241230,1,0.98,1.99,0.0098,False,0.995018,835.38,1.5018,1,0.4982,0,0,0.03,1.50754,0,0.0048,0.0048,0.0092,0.0488,-0.0032,0.01,synth-455,sim-o455,sim-f37,0,18.131,5,0.9951,0.990358,0.999908,2.29236e-05,-3.17923,0.13102,queue,touch,142,0.687777,B,98
True,1790252170220000000,KXBTCD-26SEP241230-T85000,KXBTCD-26SEP241230,-1,0.02,5,0.01,False,0.003128,829.78,1.6872,0,0.3128,0,0,0.09,1.8,-0,-0,0.0092,0.0345,0.0553,0.0875,0.0859,synth-451,sim-o452,sim-f38,0,29.2295,-3.99,0.0031276,1.362e-05,0.00633793,1.35762e-05,3.56648,0.229454,queue,touch,55,0.790953,B,2
True,1790252192620000000,KXBTCD-26SEP241230-T85000,KXBTCD-26SEP241230,-1,0.02,1.99,0.0098,False,0.002563,807.38,1.7437,0,0.2563,0,0,0.03,1.50754,-0,0.0106,0.0106,0.0237,0.0327,0.0498,0.0564,synth-460,sim-o460,sim-f39,0,22.1246,-8.99,0.00254445,4.98418e-06,0.00521523,1.08101e-05,3.75554,0.124645,queue,touch,1,0.967054,B,2
True,1790252192620000000,KXBTCD-26SEP241230-T85000,KXBTCD-26SEP241230,-1,0.02,3.01,0.0002,False,0.002563,807.38,1.7437,0,0.2563,0,0,0.06,1.99336,-0,0.0106,0.0106,0.0237,0.0327,0.0498,0.0564,synth-460,sim-o460,sim-f40,0,22.1341,-10.98,0.00254445,4.98418e-06,0.00521523,1.08101e-05,3.75554,0.134052,sweep,touch,1,0.967054,B,2
True,1790252207620000000,KXBTCD-26SEP241230-T83000,KXBTCD-26SEP241230,1,0.98,0.99,0.0098,False,0.998407,792.38,1.8407,1,0.1593,0,0,0.01,1.0101,0,0.0009,0.0009,-0.0193,-0.0076,0.0272,0.032,synth-447,sim-o448,sim-f41,0,68.1745,10,0.998431,0.996706,1,6.15627e-06,-4.22714,0.124508,queue,touch,2,1.22111,B,98
True,1790252212220000000,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,-1,0.58,3,0.02,False,0.541793,787.78,3.8207,1,-45.8207,0,0,-1.28,-42.6667,-0,-1.0009,-1.0009,-2.6629,-1.9515,-11.4876,-8.3245,synth-492,sim-o492,sim-f42,0,0.224925,0,0.541793,0.527796,0.549115,0.00199319,-0.0837228,0.224925,queue,improve,0,2.16786,B,58
True,1790252245620000000,KXBTCD-26SEP241230-T85000,KXBTCD-26SEP241230,-1,0.02,5,0.01,False,0.002208,754.38,1.7792,0,0.2208,0,0,0.09,1.8,-0,0.015,0.015,0.0228,0.0189,0.0327,-0.0199,synth-474,sim-o474,sim-f43,0,52.6261,-13.99,0.00212407,1.91225e-06,0.00439381,9.13996e-06,3.928,0.126054,queue,touch,174,1.08725,B,2
True,1790252250220000000,KXBTCD-26SEP241230-T85000,KXBTCD-26SEP241230,-1,0.01,1,0.01,False,0.00198,749.78,0.802,0,0.198,0,0,0,0,-0,-0,-0.0098,-0.0039,-0.0074,0.0144,-0.0436,synth-520,sim-o520,sim-f44,0,4.23072,-18.99,0.00198014,1.29561e-06,0.00411191,8.43972e-06,3.99619,0.230717,sweep,improve,0,0.164085,B,1
True,1790252251520000000,KXBTCD-26SEP241230-T83250,KXBTCD-26SEP241230,1,0.98,3.01,0.0002,False,0.995929,748.48,1.5929,1,0.4071,0,0,0.06,1.99336,0,-0.0151,-0.0151,0.0106,-0.012,0.0547,0.1963,synth-455,sim-o455,sim-f45,0,105.027,6.99,0.995843,0.991733,0.999953,2.02693e-05,-3.31904,0.0274139,queue,touch,142,0.687777,B,98
True,1790252252920000000,KXBTCD-26SEP241230-T83000,KXBTCD-26SEP241230,1,0.98,4.01,0.0002,False,0.998602,747.08,1.8602,1,0.1398,0,0,0.08,1.99501,0.0013,0.0013,0.0013,0.0095,0.0075,0.0271,0.0657,synth-447,sim-o448,sim-f46,0,113.483,10.99,0.998621,0.997088,1,5.50335e-06,-4.36141,0.433428,queue,touch,2,1.22111,B,98
True,1790252262320000000,KXBTCD-26SEP241230-T85000,KXBTCD-26SEP241230,-1,0.01,4,0,False,0.001903,737.68,0.8097,0,0.1903,0,0,0.04,1,-0,-0.0076,-0.0076,-0.0125,-0.011,-0.0302,-0.0535,synth-520,sim-o520,sim-f47,0,16.3381,-19.99,0.00195711,1.21044e-06,0.00406612,8.39842e-06,4.00799,0.338095,sweep,improve,0,0.164085,B,1
True,1790252278120000000,KXBTCD-26SEP241230-T84750,KXBTCD-26SEP241230,-1,0.02,3.99,0.0098,False,0.00614,721.88,1.386,0,0.614,0,0,0.07,1.75439,-0,0.0202,0.0202,-0.0076,-0.1156,-0.3483,-0.1893,synth-523,sim-o523,sim-f48,0,29.1298,0,0.00615041,0.000212755,0.0118971,3.27125e-05,2.99556,0.129763,queue,touch,3,0.324271,B,2
True,1790252278920000000,KXBTCD-26SEP241230-T83000,KXBTCD-26SEP241230,1,0.98,1.99,0.0098,False,0.998698,721.08,1.8698,1,0.1302,0,0,0.03,1.50754,0,0,0.0027,0.0186,0.0339,0.0569,0.0609,synth-526,sim-o526,sim-f49,0,25.9317,15,0.998698,0.997245,1,5.24021e-06,-4.42324,0.431658,queue,touch,20,1.30054,B,98
True,1790252289320000000,KXBTCD-26SEP241230-T84750,KXBTCD-26SEP241230,-1,0.02,0.99,0.0098,False,0.007425,710.68,1.2575,0,0.7425,0,0,0.01,1.0101,-0,-0.0156,-0.0156,-0.0622,-0.0297,-0.0877,0.1795,synth-535,sim-o535,sim-f50,0,10.8268,-3.99,0.00731543,0.00038555,0.0139569,4.08745e-05,2.85889,0.3268,queue,touch,34,0.431008,B,2
True,1790252296020000000,KXBTCD-26SEP241230-T85000,KXBTCD-26SEP241230,-1,0.03,1.01,0.0103,False,0.002224,703.98,2.7776,0,0.2224,0,0,0.02,1.9802,-0,-0.0039,-0.0039,0.0111,-0.0172,0.001,0.0588,synth-531,sim-o532,sim-f51,0,33.5296,-23.99,0.00231304,3.00106e-06,0.00476336,1.06388e-05,3.84787,0.029582,queue,touch,16,1.35921,B,3
True,1790252300020000000,KXBTCD-26SEP241230-T83000,KXBTCD-26SEP241230,1,0.98,3.01,0.0002,False,0.999073,699.98,1.9073,1,0.0927,0,0,0.06,1.99336,0,0.0033,0.0033,0.0144,0.017,0.0242,0.0216,synth-526,sim-o526,sim-f52,0,47.0372,16.99,0.999085,0.998036,1,3.54448e-06,-4.80955,0.0372479,queue,touch,20,1.30054,B,98
True,1790252312020000000,KXBTCD-26SEP241230-T83000,KXBTCD-26SEP241230,1,0.99,5,0.01,False,0.999259,687.98,0.9259,1,0.0741,0,0,0.04,0.8,0,0,-0.001,0.0012,0.0044,-0.0058,0.0006,synth-547,sim-o548,sim-f53,0,11.5312,20,0.999259,0.998397,1,2.78032e-06,-5.05395,0.0311632,sweep,improve,0,0.401851,B,99
True,1790252339720000000,KXBTCD-26SEP241230-T83250,KXBTCD-26SEP241230,1,0.98,5,0.01,False,0.997915,660.28,1.7915,1,0.2085,0,0,0.09,1.8,0,-0.0248,-0.0248,-0.0258,-0.0243,-0.0216,0.0536,synth-525,sim-o525,sim-f54,0,87.7291,10,0.99776,0.995382,0.999997,1.06263e-05,-3.87942,0.279055,queue,touch,2,0.748934,B,98
True,1790252402220000000,KXBTCD-26SEP241230-T83500,KXBTCD-26SEP241230,1,0.98,5,0.01,False,0.995085,597.78,1.5085,1,0.4915,0,0,0.09,1.8,0,0,-0.0425,0,0.0028,0.071,-0.0228,synth-597,sim-o597,sim-f55,0,11.7225,0,0.995085,0.990341,0.999908,2.88822e-05,-3.18012,0.222505,queue,touch,5,0.390703,B,98
True,1790252529920000000,KXBTCD-26SEP241230-T83250,KXBTCD-26SEP241230,1,0.98,0.99,0.0098,False,0.998991,470.08,1.8991,1,0.1009,0,0,0.01,1.0101,0.0019,0.0019,0.0019,0.0031,0.0165,0.0334,0.0434,synth-664,sim-o664,sim-f56,0,12.429,15,0.998985,0.997862,1,5.26696e-06,-4.75682,0.429033,queue,touch,12,1.36403,B,98
True,1790252534520000000,KXBTCD-26SEP241230-T83250,KXBTCD-26SEP241230,1,0.98,4.01,0.0002,False,0.999022,465.48,1.9022,1,0.0978,0,0,0.08,1.99501,0,-0.0027,-0.0027,0.0134,0.0214,0.0343,0.0428,synth-664,sim-o664,sim-f57,0,17.028,15.99,0.999006,0.997905,1,5.17155e-06,-4.78301,0.0280156,queue,touch,12,1.36403,B,98
True,1790252690320000000,KXBTCD-26SEP241230-T84250,KXBTCD-26SEP241230,-1,0.23,3,0.01,False,0.137553,309.68,9.2447,0,13.7553,0,0,0.68,22.6667,-0,1.7512,0.4147,4.4665,4.3997,3.848,10.5251,synth-729,sim-o729,sim-f58,0,0.338298,0,0.137553,0.105289,0.222463,0.00187119,0.918372,0.338298,cross,improve,0,0.103347,B,23
True,1790252712420000000,KXBTCD-26SEP241230-T84000,KXBTCD-26SEP241230,1,0.72,5,0.02,False,0.862727,287.58,14.2727,1,13.7273,0,0,1.38,27.6,2.2227,2.2227,2.6944,5.0639,5.8164,-7.4684,7.2209,synth-738,sim-o738,sim-f59,0,2.43469,-3,0.862727,0.777085,0.894899,0.00199978,-0.916706,0.434689,queue,improve,0,2.90885,B,72
True,1790253016920000000,KXBTCD-26SEP241245-T83000,KXBTCD-26SEP241245,1,0.98,0.82,0.0064,False,0.9952,883.08,1.52,1,0.48,0,0,0.01,1.21951,0.0048,0.0048,0.0048,0.0207,-0.001,0.0724,0.1365,synth-767,sim-o765,sim-f60,0,1.93717,0,0.99523,0.990594,0.999917,1.79559e-05,-3.20094,0.437168,queue,touch,9,0.643126,B,98
True,1790253016920000000,KXBTCD-26SEP241245-T83000,KXBTCD-26SEP241245,1,0.98,3,0,False,0.9952,883.08,1.52,1,0.48,0,0,0.06,2,0.0048,0.0048,0.0048,0.0207,-0.001,0.0724,0.1365,synth-767,sim-o765,sim-f61,0,1.93717,0.82,0.99523,0.990594,0.999917,1.79559e-05,-3.20094,0.437168,sweep,touch,9,0.643126,B,98
True,1790253022120000000,KXBTCD-26SEP241245-T83500,KXBTCD-26SEP241245,-1,0.99,4.99,0.0101,False,0.958917,877.88,3.1083,1,-4.1083,0,0,-0.06,-1.2024,-0,-0,-0.0765,0.1728,0.0973,-0.348,-0.5988,synth-781,sim-o782,sim-f62,0,2.63327,0,0.958917,0.917818,0.975226,0.000207434,-1.66943,0.13327,queue,touch,3,1.00336,B,99
True,1790253055820000000,KXBTCD-26SEP241245-T85000,KXBTCD-26SEP241245,-1,0.02,3.99,0.0098,False,0.005529,844.18,1.4471,0,0.5529,0,0,0.07,1.75439,-0,0.0142,0.0142,-0.0199,0.0324,0.0392,0.1723,synth-768,sim-o766,sim-f63,0,40.8312,0,0.00539836,0.000133089,0.0105482,2.12944e-05,3.09952,0.331198,queue,touch,13,0.507464,B,2
True,1790253063720000000,KXBTCD-26SEP241245-T83000,KXBTCD-26SEP241245,1,0.98,1.18,0.0036,False,0.996101,836.28,1.6101,1,0.3899,0,0,0.02,1.69492,0,-0.0065,-0.0065,0.0484,0.0638,-0.0513,-0.0054,synth-767,sim-o765,sim-f64,0,48.7282,3.82,0.996026,0.992069,0.999961,1.49843e-05,-3.35607,0.22819,queue,touch,9,0.643126,B,98
True,1790253066720000000,KXBTCD-26SEP241245-T85000,KXBTCD-26SEP241245,-1,0.02,5,0.01,False,0.005439,833.28,1.4561,0,0.5439,0,0,0.09,1.8,-0,-0.0293,-0.0293,-0.1132,-0.0273,0.1922,0.157,synth-813,sim-o812,sim-f65,0,10.7334,-3.99,0.00562751,0.000155136,0.0109615,2.25569e-05,3.06586,0.233357,queue,touch,24,0.539824,B,2
True,1790253069020000000,KXBTCD-26SEP241245-T83000,KXBTCD-26SEP241245,1,0.98,0.98,0.0096,False,0.996755,830.98,1.6755,1,0.3245,0,0,0.01,1.02041,0,0,0.011,-0.0051,-0.0165,-0.1661,-0.0249,synth-818,sim-o818,sim-f66,0,5.03329,5,0.996755,0.993439,0.999984,1.18438e-05,-3.53352,0.0332886,queue,touch,239,0.804774,B,98
